"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME (V.3)";"libellé ROME (V.3)";"lien ROME";domaine/sous-domaine
généalogiste;https://www.onisep.fr/http/redirection/metier/slug/MET.742;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";;;;"économie, droit, politique/droit (généralités)| histoire-géographie, psychologie, sociologie/histoire"
"éducateur canin / éducatrice canine";https://www.onisep.fr/http/redirection/metier/slug/MET.964;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";A1408;"Élevage d'animaux sauvages ou de compagnie";https://candidat.francetravail.fr/metierscope/fiche-metier/A1408;"agriculture, animaux/soins aux animaux"
projectionniste;https://www.onisep.fr/http/redirection/metier/slug/MET.147;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE U : communication, médias";E1204;"Projection cinéma";https://candidat.francetravail.fr/metierscope/fiche-metier/E1204;"information-communication, audiovisuel/audiovisuel"
"attaché / attachée de recherche clinique";https://www.onisep.fr/http/redirection/metier/slug/MET.300;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"santé, social, sport/médical"
"footballeur / footballeuse";https://www.onisep.fr/http/redirection/metier/slug/MET.651;"Les métiers du sport";Parcours;2024;9782273016988;"GFE S : hôtellerie,  tourisme, loisirs";L1401;"Sportif professionnel";https://candidat.francetravail.fr/metierscope/fiche-metier/L1401;"santé, social, sport/sport"
"constructeur / constructrice de routes et d'aménagements urbains";https://www.onisep.fr/http/redirection/metier/slug/MET.904;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1702;"Construction de routes et voies";https://candidat.francetravail.fr/metierscope/fiche-metier/F1702;"construction, architecture, travaux publics/travaux publics"
"collaborateur / collaboratrice de notaire";https://www.onisep.fr/http/redirection/metier/slug/MET.168;"Les métiers du droit";Parcours;2024;9782273016865;"GFE W : droit, enseignement, recherche et sciences humaines";K1902;"Collaboration juridique";https://candidat.francetravail.fr/metierscope/fiche-metier/K1902;"économie, droit, politique/droit privé"
"ingénieur / ingénieure R&D en énergies renouvelables";https://www.onisep.fr/http/redirection/metier/slug/MET.303;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"environnement, énergies, propreté/énergies"
"déménageur / déménageuse";https://www.onisep.fr/http/redirection/metier/slug/MET.546;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";N1102;Déménagement;https://candidat.francetravail.fr/metierscope/fiche-metier/N1102;"logistique, transport/logistique| logistique, transport/transport"
"régisseur général / régisseuse générale cinéma";https://www.onisep.fr/http/redirection/metier/slug/MET.194;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE V : arts, spectacle, audiovisuel";L1509;"Régie générale";https://candidat.francetravail.fr/metierscope/fiche-metier/L1509;"information-communication, audiovisuel/audiovisuel"
neurobiologiste;https://www.onisep.fr/http/redirection/metier/slug/MET.824;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/metierscope/fiche-metier/K2402;"sciences/biologie| santé, social, sport/médical"
"ingénieur / ingénieure en acoustique";https://www.onisep.fr/http/redirection/metier/slug/MET.728;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/metierscope/fiche-metier/F1106;"environnement, énergies, propreté/déchets, pollutions et risques| construction, architecture, travaux publics/équipement technique| construction, architecture, travaux publics/génie civil| sciences/physique"
ascensoriste;https://www.onisep.fr/http/redirection/metier/slug/MET.775;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";I1301;"Installation et maintenance d'ascenseurs";https://candidat.francetravail.fr/metierscope/fiche-metier/I1301;"électricité, électronique, robotique/électrotechnique| construction, architecture, travaux publics/équipement technique| armée, sécurité/sécurité, prévention"
"secrétaire d'édition";https://www.onisep.fr/http/redirection/metier/slug/MET.67;"Les métiers du livre";Parcours;2021;9782273015851;"GFE U : communication, médias";E1105;"Coordination d'édition";https://candidat.francetravail.fr/metierscope/fiche-metier/E1105;"information-communication, audiovisuel/journalisme, édition, publicité"
"conducteur / conductrice de train";https://www.onisep.fr/http/redirection/metier/slug/MET.154;"Les métiers du transport et de la logistique";Parcours;2024;9782273016926;"GFE O : transport, logistique";N4301;"Conduite sur rails";https://candidat.francetravail.fr/metierscope/fiche-metier/N4301;"logistique, transport/transport"
"boucher / bouchère";https://www.onisep.fr/http/redirection/metier/slug/MET.268;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE K : production alimentaire";D1101;Boucherie;https://candidat.francetravail.fr/metierscope/fiche-metier/D1101;"matières premières, fabrication, industries/agroalimentaire| commerce, marketing, vente/grande distribution et petits commerces"
"commercial itinérant / commerciale itinérante";https://www.onisep.fr/http/redirection/metier/slug/MET.8011;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1402;"Relation commerciale grands comptes et entreprises";https://candidat.francetravail.fr/metierscope/fiche-metier/D1402;"commerce, marketing, vente/marketing, vente"
"ingénieur / ingénieure en automatismes";https://www.onisep.fr/http/redirection/metier/slug/MET.326;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/metierscope/fiche-metier/H1206;"mécanique/automatismes| électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| matières premières, fabrication, industries/fabrication, productique| matières premières, fabrication, industries/méthodes industrialisation"
bactériologiste;https://www.onisep.fr/http/redirection/metier/slug/MET.716;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/metierscope/fiche-metier/K2402;sciences/biologie
"commissaire de justice";https://www.onisep.fr/http/redirection/metier/slug/MET.872;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1901;"Aide et médiation judiciaire";https://candidat.francetravail.fr/metierscope/fiche-metier/K1901;"économie, droit, politique/activité judiciaire"
"menuisier / menuisière";https://www.onisep.fr/http/redirection/metier/slug/MET.439;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE M : travail du bois";"F1607 | H2206";"Pose de fermetures menuisées | Réalisation de menuiserie bois et tonnellerie";"https://candidat.francetravail.fr/metierscope/fiche-metier/F1607 | https://candidat.francetravail.fr/metierscope/fiche-metier/H2206";"construction, architecture, travaux publics/agencement| construction, architecture, travaux publics/ameublement| matières premières, fabrication, industries/bois| construction, architecture, travaux publics/menuiserie"
"tailleur-couturier / tailleuse-couturière";https://www.onisep.fr/http/redirection/metier/slug/MET.291;"Les études d'art";Dossiers;2023;9782273016506;"GFE L : textile, habillement, cuir";B1803;"Réalisation de vêtements sur mesure ou en petite série";https://candidat.francetravail.fr/metierscope/fiche-metier/B1803;"matières premières, fabrication, industries/textile, habillement"
"décorateur / décoratrice sur verre";https://www.onisep.fr/http/redirection/metier/slug/MET.7937;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";B1302;"Décoration d'objets d'art et artisanaux";https://candidat.francetravail.fr/metierscope/fiche-metier/B1302;"arts, culture, artisanat/artisanat d'art| arts, culture, artisanat/arts plastiques"
"accompagnateur / accompagnatrice de voyages";https://www.onisep.fr/http/redirection/metier/slug/MET.41;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.francetravail.fr/metierscope/fiche-metier/G1201;"lettres, langues, enseignement/langues| hôtellerie-restauration, tourisme/tourisme"
"constructeur / constructrice en ouvrages d'art";https://www.onisep.fr/http/redirection/metier/slug/MET.162;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1701;"Construction en béton";https://candidat.francetravail.fr/metierscope/fiche-metier/F1701;"construction, architecture, travaux publics/maçonnerie, béton armé"
"statisticien / statisticienne en analyse sensorielle";https://www.onisep.fr/http/redirection/metier/slug/MET.230;"Mathématiques, statistiques et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1403;"Études et prospectives socio-économiques";https://candidat.francetravail.fr/metierscope/fiche-metier/M1403;sciences/mathématiques
"architecte réseaux";https://www.onisep.fr/http/redirection/metier/slug/MET.551;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1804;"Études et développement de réseaux de télécoms";https://candidat.francetravail.fr/metierscope/fiche-metier/M1804;"informatique, Internet/systèmes et réseaux| électricité, électronique, robotique/télécommunications"
"énergéticien / énergéticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.752;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"mécanique/automatismes| électricité, électronique, robotique/électrotechnique| environnement, énergies, propreté/énergies| matières premières, fabrication, industries/papier, carton| sciences/physique"
"conseiller / conseillère en assurances";https://www.onisep.fr/http/redirection/metier/slug/MET.909;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";C1102;"Conseil clientèle en assurances";https://candidat.francetravail.fr/metierscope/fiche-metier/C1102;"banque, assurances, immobilier/assurances"
"ingénieur technico-commercial / ingénieure technico-commerciale en chimie";https://www.onisep.fr/http/redirection/metier/slug/MET.826;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";D1407;"Relation technico-commerciale";https://candidat.francetravail.fr/metierscope/fiche-metier/D1407;"sciences/chimie| commerce, marketing, vente/marketing, vente"
"chef / cheffe de rang";https://www.onisep.fr/http/redirection/metier/slug/MET.7990;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE S : hôtellerie,  tourisme, loisirs";G1803;"Service en restauration";https://candidat.francetravail.fr/metierscope/fiche-metier/G1803;"hôtellerie-restauration, tourisme/restauration"
"officier / officière de l'armée de terre";https://www.onisep.fr/http/redirection/metier/slug/MET.567;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1703;"Direction opérationnelle de la défense";https://candidat.francetravail.fr/metierscope/fiche-metier/K1703;"armée, sécurité/défense publique| armée, sécurité/sécurité, prévention"
"mécanicien / mécanicienne d'entretien d'avion";https://www.onisep.fr/http/redirection/metier/slug/MET.23;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";I1602;"Maintenance d'aéronefs";https://candidat.francetravail.fr/metierscope/fiche-metier/I1602;"mécanique/aéronautique| électricité, électronique, robotique/électronique"
"technicien / technicienne d'exploitation de l'eau";https://www.onisep.fr/http/redirection/metier/slug/MET.321;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";K2306;"Supervision d'exploitation éco-industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/K2306;"environnement, énergies, propreté/gestion de l'eau"
"technicien / technicienne d'exploitation de l'eau";https://www.onisep.fr/http/redirection/metier/slug/MET.321;"Les métiers des industries des papiers cartons";"Zoom sur les métiers";2019;9782273014830;"GFE T : environnement, nettoyage, sécurité";K2306;"Supervision d'exploitation éco-industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/K2306;"environnement, énergies, propreté/gestion de l'eau"
"conseiller / conseillère en voyages";https://www.onisep.fr/http/redirection/metier/slug/MET.604;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1303;"Vente de voyages";https://candidat.francetravail.fr/metierscope/fiche-metier/G1303;"hôtellerie-restauration, tourisme/tourisme"
"chef / cheffe de produit technique en informatique";https://www.onisep.fr/http/redirection/metier/slug/MET.229;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1703;"Management et gestion de produit";https://candidat.francetravail.fr/metierscope/fiche-metier/M1703;"informatique, Internet/informatique (généralités)| commerce, marketing, vente/marketing, vente| électricité, électronique, robotique/télécommunications"
"assistant / assistante funéraire";https://www.onisep.fr/http/redirection/metier/slug/MET.7765;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K2602;"Conseil en services funéraires";https://candidat.francetravail.fr/metierscope/fiche-metier/K2602;"santé, social, sport/travail social"
"contrôleur / contrôleuse technique automobile";https://www.onisep.fr/http/redirection/metier/slug/MET.297;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";I1604;"Mécanique automobile et entretien de véhicules";https://candidat.francetravail.fr/metierscope/fiche-metier/I1604;mécanique/automobile
"ingénieur / ingénieure production en mécanique";https://www.onisep.fr/http/redirection/metier/slug/MET.242;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;"matières premières, fabrication, industries/études et développement| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation"
"serrurier-métallier / serrurière-métallière";https://www.onisep.fr/http/redirection/metier/slug/MET.148;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE E : travail des métaux";"F1607 | H2911";"Pose de fermetures menuisées | Réalisation de structures métalliques";"https://candidat.francetravail.fr/metierscope/fiche-metier/F1607 | https://candidat.francetravail.fr/metierscope/fiche-metier/H2911";"mécanique/travail des métaux"
"consultant / consultante green IT";https://www.onisep.fr/http/redirection/metier/slug/MET.945;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1402;"Conseil en organisation et management d'entreprise";https://candidat.francetravail.fr/metierscope/fiche-metier/M1402;"environnement, énergies, propreté/environnement (généralités)| informatique, Internet/informatique (généralités)"
"conducteur / conductrice de machines agricoles";https://www.onisep.fr/http/redirection/metier/slug/MET.287;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1101;"Conduite d'engins agricoles et forestiers";https://candidat.francetravail.fr/metierscope/fiche-metier/A1101;"mécanique/machinisme agricole"
"agent / agente d'exploitation de l'eau";https://www.onisep.fr/http/redirection/metier/slug/MET.509;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";K2301;"Distribution et assainissement d'eau";https://candidat.francetravail.fr/metierscope/fiche-metier/K2301;"environnement, énergies, propreté/gestion de l'eau"
"ouvrier / ouvrière agricole";https://www.onisep.fr/http/redirection/metier/slug/MET.903;"Les métiers de l'agriculture et de la forêt";Parcours;2024;9782273016841;"GFE A : agriculture";A1416;"Polyculture, élevage";https://candidat.francetravail.fr/metierscope/fiche-metier/A1416;"agriculture, animaux/cultures| agriculture, animaux/élevage, aquaculture"
"technicien / technicienne en traitement des matériaux";https://www.onisep.fr/http/redirection/metier/slug/MET.942;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"sciences/chimie| sciences/physique| mécanique/travail des métaux"
"cadreur / cadreuse";https://www.onisep.fr/http/redirection/metier/slug/MET.262;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE V : arts, spectacle, audiovisuel";L1505;"Image cinématographique et télévisuelle";https://candidat.francetravail.fr/metierscope/fiche-metier/L1505;"information-communication, audiovisuel/audiovisuel| information-communication, audiovisuel/journalisme, édition, publicité"
"opérateur / opératrice en télé-assistance";https://www.onisep.fr/http/redirection/metier/slug/MET.847;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";;;;"santé, social, sport/travail social"
"encadreur / encadreuse";https://www.onisep.fr/http/redirection/metier/slug/MET.63;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE V : arts, spectacle, audiovisuel";H2208;"Réalisation d'ouvrages décoratifs en bois";https://candidat.francetravail.fr/metierscope/fiche-metier/H2208;"arts, culture, artisanat/artisanat d'art"
campaniste;https://www.onisep.fr/http/redirection/metier/slug/MET.7913;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";B1604;"Réparation - montage en systèmes horlogers";https://candidat.francetravail.fr/metierscope/fiche-metier/B1604;"arts, culture, artisanat/artisanat d'art| construction, architecture, travaux publics/charpente, couverture| électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique"
"facteur / factrice";https://www.onisep.fr/http/redirection/metier/slug/MET.763;;"pas de publication Onisep spécifique";;;"GFE O : transport, logistique";M1603;"Distribution de documents";https://candidat.francetravail.fr/metierscope/fiche-metier/M1603;"logistique, transport/logistique| logistique, transport/transport"
"monteur-vendeur / monteuse-vendeuse en optique-lunetterie";https://www.onisep.fr/http/redirection/metier/slug/MET.744;"Les métiers du commerce et de la vente";"Zoom sur les métiers";2022;9782273016230;"GFE R : santé, social, soins personnels";J1405;"Optique - lunetterie";https://candidat.francetravail.fr/metierscope/fiche-metier/J1405;"santé, social, sport/paramédical"
"formateur / formatrice en informatique";https://www.onisep.fr/http/redirection/metier/slug/MET.593;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";K2111;"Formation professionnelle";https://candidat.francetravail.fr/metierscope/fiche-metier/K2111;"lettres, langues, enseignement/enseignement| informatique, Internet/informatique (généralités)"
"chaudronnier / chaudronnière";https://www.onisep.fr/http/redirection/metier/slug/MET.576;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE E : travail des métaux";H2902;"Chaudronnerie - tôlerie";https://candidat.francetravail.fr/metierscope/fiche-metier/H2902;"mécanique/travail des métaux"
"ingénieur / ingénieure environnement";https://www.onisep.fr/http/redirection/metier/slug/MET.433;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/metierscope/fiche-metier/H1302;"environnement, énergies, propreté/déchets, pollutions et risques| environnement, énergies, propreté/environnement (généralités)| environnement, énergies, propreté/gestion de l'eau| armée, sécurité/sécurité, prévention"
"juge des contentieux de la protection";https://www.onisep.fr/http/redirection/metier/slug/MET.91;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1904;Magistrature;https://candidat.francetravail.fr/metierscope/fiche-metier/K1904;"économie, droit, politique/activité judiciaire"
histologiste;https://www.onisep.fr/http/redirection/metier/slug/MET.702;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1201;"Biologie médicale";https://candidat.francetravail.fr/metierscope/fiche-metier/J1201;sciences/biologie
"ingénieur / ingénieure en expérimentation et production végétales";https://www.onisep.fr/http/redirection/metier/slug/MET.103;"Les métiers de l'agriculture et de la forêt";Parcours;2024;9782273016841;"GFE A : agriculture";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/metierscope/fiche-metier/H2502;"agriculture, animaux/agriculture (généralités)| sciences/biologie| agriculture, animaux/cultures"
"responsable des ressources humaines";https://www.onisep.fr/http/redirection/metier/slug/MET.697;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";M1503;"Management des ressources humaines";https://candidat.francetravail.fr/metierscope/fiche-metier/M1503;"gestion des entreprises, comptabilité/administration de l'entreprise| économie, droit, politique/droit (généralités)| gestion des entreprises, comptabilité/ressources humaines"
"monteur / monteuse en réseaux de communication (fibre)";https://www.onisep.fr/http/redirection/metier/slug/MET.7969;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";F1605;"Montage de réseaux électriques et télécoms";https://candidat.francetravail.fr/metierscope/fiche-metier/F1605;"électricité, électronique, robotique/télécommunications"
"bûcheron / bûcheronne";https://www.onisep.fr/http/redirection/metier/slug/MET.705;"Les métiers du bois";"Zoom sur les métiers";2023;9782273016704;"GFE A : agriculture";A1201;"Bûcheronnage et élagage";https://candidat.francetravail.fr/metierscope/fiche-metier/A1201;"agriculture, animaux/forêt"
"chef / cheffe de produit marketing";https://www.onisep.fr/http/redirection/metier/slug/MET.539;"Les métiers du jeu vidéo";Parcours;2023;9782273016193;"GFE Q : commerce, gestion, finances";M1703;"Management et gestion de produit";https://candidat.francetravail.fr/metierscope/fiche-metier/M1703;"commerce, marketing, vente/grande distribution et petits commerces| commerce, marketing, vente/marketing, vente"
"chargé / chargée d'études en marketing";https://www.onisep.fr/http/redirection/metier/slug/MET.540;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";M1403;"Études et prospectives socio-économiques";https://candidat.francetravail.fr/metierscope/fiche-metier/M1403;"information-communication, audiovisuel/journalisme, édition, publicité| commerce, marketing, vente/marketing, vente"
pédiatre;https://www.onisep.fr/http/redirection/metier/slug/MET.335;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1102;"Médecine généraliste et spécialisée";https://candidat.francetravail.fr/metierscope/fiche-metier/J1102;"santé, social, sport/médical"
styliste;https://www.onisep.fr/http/redirection/metier/slug/MET.25;"Les métiers de l'industrie textile";"Zoom sur les métiers";2022;9782273015585;"GFE L : textile, habillement, cuir";B1805;Stylisme;https://candidat.francetravail.fr/metierscope/fiche-metier/B1805;"arts, culture, artisanat/arts graphiques| matières premières, fabrication, industries/textile, habillement"
"agent / agente de sûreté ferroviaire";https://www.onisep.fr/http/redirection/metier/slug/MET.185;"Les métiers du ferroviaire";"Zoom sur les métiers";2021;9782273015561;"GFE O : transport, logistique";K2503;"Sécurité et surveillance privées";https://candidat.francetravail.fr/metierscope/fiche-metier/K2503;"armée, sécurité/sécurité, prévention"
"médecin spécialiste";https://www.onisep.fr/http/redirection/metier/slug/MET.419;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1102;"Médecine généraliste et spécialisée";https://candidat.francetravail.fr/metierscope/fiche-metier/J1102;"santé, social, sport/médical"
"monteur / monteuse en installations thermiques et climatiques";https://www.onisep.fr/http/redirection/metier/slug/MET.264;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";F1603;"Installation d'équipements sanitaires et thermiques";https://candidat.francetravail.fr/metierscope/fiche-metier/F1603;"environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique"
"attaché territorial / attachée territoriale";https://www.onisep.fr/http/redirection/metier/slug/MET.441;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";K1404;"Mise en oeuvre et pilotage de la politique des pouvoirs publics";https://candidat.francetravail.fr/metierscope/fiche-metier/K1404;"arts, culture, artisanat/activités culturelles| environnement, énergies, propreté/aménagement du territoire| économie, droit, politique/droit public| matières premières, fabrication, industries/génie industriel| gestion des entreprises, comptabilité/ressources humaines| économie, droit, politique/sciences économiques| santé, social, sport/travail social| environnement, énergies, propreté/urbanisme"
"responsable du soutien logistique intégré";https://www.onisep.fr/http/redirection/metier/slug/MET.842;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE H : électricité, énergie, électronique";H1401;"Management et ingénierie gestion industrielle et logistique";https://candidat.francetravail.fr/metierscope/fiche-metier/H1401;"électricité, électronique, robotique/électronique| logistique, transport/logistique"
"data manager";https://www.onisep.fr/http/redirection/metier/slug/MET.613;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.francetravail.fr/metierscope/fiche-metier/M1802;"informatique, Internet/informatique (généralités)| sciences/mathématiques"
"interprète de l'écrit";https://www.onisep.fr/http/redirection/metier/slug/MET.7898;;"pas de publication Onisep spécifique";;;"GFE U : communication, médias";E1108;"Traduction, interprétariat";https://candidat.francetravail.fr/metierscope/fiche-metier/E1108;"lettres, langues, enseignement/langues"
"rédacteur / rédactrice technique";https://www.onisep.fr/http/redirection/metier/slug/MET.360;;"pas de publication Onisep spécifique";;;"GFE U : communication, médias";H1207;"Rédaction technique";https://candidat.francetravail.fr/metierscope/fiche-metier/H1207;"lettres, langues, enseignement/langues"
"relieur-doreur / relieuse-doreuse";https://www.onisep.fr/http/redirection/metier/slug/MET.581;"Les métiers du livre";Parcours;2021;9782273015851;"GFE V : arts, spectacle, audiovisuel";B1402;"Reliure et restauration de livres et archives";https://candidat.francetravail.fr/metierscope/fiche-metier/B1402;"arts, culture, artisanat/artisanat d'art| information-communication, audiovisuel/industries graphiques"
"responsable assurance qualité";https://www.onisep.fr/http/redirection/metier/slug/MET.202;"Les métiers de l'industrie du médicament";"Zoom sur les métiers";2020;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1502;"Management et ingénierie qualité industrielle";https://candidat.francetravail.fr/metierscope/fiche-metier/H1502;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/maintenance, qualité"
"animateur / animatrice de bassin versant";https://www.onisep.fr/http/redirection/metier/slug/MET.227;"Les métiers de l'environnement et du développement durable";Parcours;2024;9782273017008;"GFE T : environnement, nettoyage, sécurité";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.francetravail.fr/metierscope/fiche-metier/A1303;"environnement, énergies, propreté/gestion de l'eau"
"sellier / sellière";https://www.onisep.fr/http/redirection/metier/slug/MET.98;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE L : textile, habillement, cuir";B1802;"Réalisation d'articles en cuir et matériaux souples (hors vêtement)";https://candidat.francetravail.fr/metierscope/fiche-metier/B1802;"mécanique/automobile| matières premières, fabrication, industries/textile, habillement"
"ingénieur / ingénieure hydrogéomorphologue";https://www.onisep.fr/http/redirection/metier/slug/MET.106;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.francetravail.fr/metierscope/fiche-metier/M1808;"sciences/sciences de la Terre"
web-ergonome;https://www.onisep.fr/http/redirection/metier/slug/MET.814;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";;;;"information-communication, audiovisuel/multimédia| histoire-géographie, psychologie, sociologie/psychologie"
"BIM manager";https://www.onisep.fr/http/redirection/metier/slug/MET.902;"Les métiers du Grand Paris Express";"Pourquoi pas moi ?";2020;9782273015127;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/metierscope/fiche-metier/F1106;"construction, architecture, travaux publics/génie civil| informatique, Internet/informatique (généralités)| informatique, Internet/informatique industrielle et technologique| construction, architecture, travaux publics/travaux publics"
ethnologue;https://www.onisep.fr/http/redirection/metier/slug/MET.414;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2401;"Recherche en sciences de l'homme et de la société";https://candidat.francetravail.fr/metierscope/fiche-metier/K2401;"histoire-géographie, psychologie, sociologie/sciences sociales"
